'259','Canon','Canon EOS-1D X','FullFrame',\N,\N
'260','Canon','Canon EOS 5D','FullFrame',\N,\N
'261','Canon','Canon EOS 5D Mark II','FullFrame',\N,\N
'262','Canon','Canon EOS 5D Mark III','FullFrame','Canon EOS 5D Mark III','<a target="_blank" href="http://www.amazon.com/gp/product/B007FGYZFI/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B007FGYZFI&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B007FGYZFI&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B007FGYZFI" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'289','Canon','Canon EOS REBEL T3','APSC','Canon EOS Rebel T3','<a target="_blank" href="http://www.amazon.com/gp/product/B004J3Y9U6/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004J3Y9U6&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B004J3Y9U6&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B004J3Y9U6" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'290','Canon','Canon EOS REBEL T3i','APSC','Canon EOS Rebel T3i','<a target="_blank" href="http://www.amazon.com/gp/product/B004J3V90Y/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004J3V90Y&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B004J3V90Y&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B004J3V90Y" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'291','Canon','Canon EOS REBEL T2i','APSC',\N,\N
'292','Canon','Canon EOS REBEL T1i','APSC',\N,\N
'293','Canon','Canon EOS 300D DIGITAL','APSC',\N,\N
'294','Canon','Canon EOS 350D DIGITAL','APSC',\N,\N
'295','Canon','Canon EOS 400D DIGITAL','APSC',\N,\N
'296','Canon','Canon EOS 450D','APSC',\N,\N
'297','Canon','Canon EOS 500D','APSC',\N,\N
'298','Canon','Canon EOS 550D','APSC',\N,\N
'299','Canon','Canon EOS 600D','APSC',\N,\N
'300','Canon','Canon EOS 650D','APSC',\N,\N
'301','Canon','Canon EOS 700D','APSC',\N,\N
'302','Canon','Canon EOS 1000D','APSC',\N,\N
'303','Canon','Canon EOS 1100D','APSC','Canon EOS Rebel T3','<a target="_blank" href="http://www.amazon.com/gp/product/B004J3Y9U6/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004J3Y9U6&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B004J3Y9U6&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B004J3Y9U6" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'304','Canon','Canon EOS M','APSC',\N,\N
'305','Canon','Canon PowerShot G1X','APSC','Canon PowerShot G1 X','<a target="_blank" href="http://www.amazon.com/gp/product/B006UMM2BW/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B006UMM2BW&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B006UMM2BW&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B006UMM2BW" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'306','Canon','Canon PowerShot G2','Compact',\N,\N
'307','Canon','Canon PowerShot G9','Compact',\N,\N
'308','Canon','Canon PowerShot G10','Compact',\N,\N
'309','Canon','Canon PowerShot G11','Compact',\N,\N
'310','Canon','Canon PowerShot G12','Compact','Canon PowerShot G15','<a target="_blank" href="http://www.amazon.com/gp/product/B009B0MY6S/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B009B0MY6S&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B009B0MY6S&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B009B0MY6S" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'311','Canon','Canon PowerShot G15','Compact',\N,\N
'312','Canon','Canon PowerShot G16','Compact','Canon PowerShot G16','<a target="_blank" href="http://www.amazon.com/gp/product/B00EFILHB4/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00EFILHB4&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00EFILHB4&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B00EFILHB4" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
'313','Canon','Canon PowerShot S90','Compact',\N,\N
'314','Canon','Canon PowerShot S95','Compact',\N,\N
'315','Canon','Canon PowerShot S100','Compact',\N,\N
'316','Canon','Canon PowerShot S110','Compact','Canon PowerShot S110','<a target="_blank" href="http://www.amazon.com/gp/product/B009B0MYSQ/ref=as_li_ss_il?ie=UTF8&camp=1789&creative=390957&creativeASIN=B009B0MYSQ&linkCode=as2&tag=michalography-20"><img border="0" src="http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B009B0MYSQ&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=michalography-20"/></a><img src="http://ir-na.amazon-adsystem.com/e/ir?t=michalography-20&l=as2&o=1&a=B009B0MYSQ" width="1" height="1" border="0" alt="" style="border:none !important; margin:0px !important;" />'
